timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
564076083,564075817,3932170,0.06018744,-0.022849923,-0.006072007,44.92656,0,10
564077332,564077074,3932170,0.06567355,-0.019387813,-0.0075633777,44.92656,0,10
565076400,565076154,3932170,0.06135923,-0.02199771,-0.0068176924,45.17136,0,10
566077967,566077719,3932170,0.061252706,-0.023062976,-0.0104395915,45.02448,0,10
567078281,567078036,3932170,0.061785337,-0.02295645,-0.008735169,45.1224,0,10
568077366,568077108,3932170,0.063702814,-0.02263687,-0.0035686358,45.1224,0,10
569077726,569077433,3932170,0.062903866,-0.02098571,-0.0058056912,45.02448,0,10
570078001,570077753,3932170,0.06551376,-0.023116238,-0.009480854,45.1224,0,10
571079581,571079331,3932170,0.060720075,-0.022743396,-0.0088949585,45.17136,0,10
572077426,572077151,3932170,0.10199907,-0.07749799,0.108923286,45.220318,0,10
573077717,573077475,3932170,0.15398398,-0.027963191,0.0110254865,45.1224,0,10
574079306,574079053,3932170,0.12128036,0.10231865,-0.3425358,45.220318,0,10
575075896,575075634,3932170,-0.10626013,-0.034621093,-0.0598146,45.1224,0,10
576077463,576077204,3932170,-0.22226742,-0.0032490566,0.040959418,45.1224,0,10
577077798,577077531,3932170,0.09230516,-0.016405072,0.02977414,45.17136,0,10
578079350,578079107,3932170,0.22434469,-0.017470337,0.085327685,44.92656,0,10
579077179,579076936,3932170,0.20634173,-0.041598577,0.02199771,45.1224,0,10
580077509,580077261,3932170,0.10498181,-0.05262406,-0.052464273,45.3672,0,10
581076595,581076338,3932170,-0.0932639,-0.01304949,-0.045220476,45.1224,0,10
582076917,582076666,3932170,0.25891253,0.047297742,-0.012250541,45.318237,0,10
583077247,583076995,3932170,-0.07749799,-0.08873653,-0.038136467,45.220318,0,10
584078851,584078593,3932170,0.18168084,-0.20224045,-0.0080960095,45.318237,0,10
585079151,585078899,3932170,-0.34839472,0.034780882,-0.017044231,45.318237,0,10
586078224,586077976,3932170,0.107272126,0.1685781,-0.02098571,45.220318,0,10
587078552,587078303,3932170,0.18279938,-0.092358425,0.09864349,45.3672,0,10
588078889,588078634,3932170,0.056991648,-0.17614147,-0.017417073,45.1224,0,10
589076709,589076455,3932170,0.11430287,0.009693907,0.2611496,45.02448,0,10
590077042,590076782,3932170,-0.12564795,-0.17512947,-0.01272991,45.02448,0,10
591078663,591078404,3932170,-0.04495416,-0.17092168,0.021518342,45.3672,0,10
592078941,592078686,3932170,0.059761334,-0.06391586,-0.0028229507,45.1224,0,10
593076753,593076507,3932170,0.10924287,-0.013528858,0.099548966,45.02448,0,10
594078337,594078083,3932170,-0.008948221,-0.029614352,-0.038562573,45.02448,0,10
595078673,595078406,3932170,0.06876282,-0.039894152,-0.0031957934,45.1224,0,10
596076484,596076233,3932170,0.062264707,-0.02066613,-0.007243798,45.17136,0,10
597078047,597077803,3932170,0.06498113,-0.022849923,-0.009214537,45.02448,0,10
598078373,598078125,3932170,0.06199839,-0.023702133,-0.0069774822,44.97552,0,10
599078711,599078449,3932170,0.061252706,-0.017630126,-0.010652645,44.92656,0,10
