timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
438345497,3932170,3932170,4259850,0,0,0.03946493,0.039464846,0.0,0.0,3932170,3932170,4325386,0,0,0.0027122411,0.0027122411,0.0,0.0,1,1,0,0,1,1,0,0
438350572,3932170,3932170,4259850,0,0,0.03973138,0.03973128,0.0,0.0,3932170,3932170,4325386,0,0,0.0030838347,0.0030838347,0.0,0.0,1,1,0,0,1,1,0,0
438545543,3932170,3932170,4259850,0,0,0.037153155,0.03715317,0.0,0.0,3932170,3932170,4325386,0,0,0.003510076,0.003510076,0.0,0.0,1,1,0,0,1,1,0,0
438750651,3932170,3932170,4259850,0,0,0.03733791,0.037337944,0.0,0.0,3932170,3932170,4325386,0,0,0.0028623282,0.0028623282,0.0,0.0,1,1,0,0,1,1,0,0
438950728,3932170,3932170,4259850,0,0,0.038880453,0.03888047,0.0,0.0,3932170,3932170,4325386,0,0,0.0032380247,0.0032380247,0.0,0.0,1,1,0,0,1,1,0,0
439150730,3932170,3932170,4259850,0,0,0.038941693,0.03894172,0.0,0.0,3932170,3932170,4325386,0,0,0.0029004728,0.0029004728,0.0,0.0,1,1,0,0,1,1,0,0
439350819,3932170,3932170,4259850,0,0,0.044187304,0.044187296,0.0,0.0,3932170,3932170,4325386,0,0,0.0029984985,0.0029984985,0.0,0.0,1,1,0,0,1,1,0,0
439550841,3932170,3932170,4259850,0,0,0.040571086,0.040571086,0.0,0.0,3932170,3932170,4325386,0,0,0.0028826585,0.0028826585,0.0,0.0,1,1,0,0,1,1,0,0
439750942,3932170,3932170,4259850,0,0,0.041365743,0.041365743,0.0,0.0,3932170,3932170,4325386,0,0,0.0033899525,0.0033899525,0.0,0.0,1,1,0,0,1,1,0,0
439946051,3932170,3932170,4259850,0,0,0.040073756,0.04007375,0.0,0.0,3932170,3932170,4325386,0,0,0.003827421,0.0038274208,0.0,0.0,1,1,0,0,1,1,0,0
440151050,3932170,3932170,4259850,0,0,0.041054994,0.041055042,0.0,0.0,3932170,3932170,4325386,0,0,0.003364475,0.003364475,0.0,0.0,1,1,0,0,1,1,0,0
440351065,3932170,3932170,4259850,0,0,0.04088474,0.040884756,0.0,0.0,3932170,3932170,4325386,0,0,0.0034099994,0.0034099994,0.0,0.0,1,1,0,0,1,1,0,0
440551177,3932170,3932170,4259850,0,0,0.04000366,0.040003654,0.0,0.0,3932170,3932170,4325386,0,0,0.0034083533,0.0034083533,0.0,0.0,1,1,0,0,1,1,0,0
440751226,3932170,3932170,4259850,0,0,0.03516864,0.035168603,0.0,0.0,3932170,3932170,4325386,0,0,0.0032887603,0.0032887603,0.0,0.0,1,1,0,0,1,1,0,0
440951246,3932170,3932170,4259850,0,0,0.04152794,0.041527886,0.0,0.0,3932170,3932170,4325386,0,0,0.0031251118,0.0031251118,0.0,0.0,1,1,0,0,1,1,0,0
441146303,3932170,3932170,4259850,0,0,0.03885674,0.0388567,0.0,0.0,3932170,3932170,4325386,0,0,0.0032381837,0.0032381834,0.0,0.0,1,1,0,0,1,1,0,0
441346362,3932170,3932170,4259850,0,0,0.037556753,0.037556626,0.0,0.0,3932170,3932170,4325386,0,0,0.0031085522,0.003108552,0.0,0.0,1,1,0,0,1,1,0,0
441551467,3932170,3932170,4259850,0,0,0.040484663,0.040484652,0.0,0.0,3932170,3932170,4325386,0,0,0.0041457117,0.0041457117,0.0,0.0,1,1,0,0,1,1,0,0
441751552,3932170,3932170,4259850,0,0,0.039092988,0.03909295,0.0,0.0,3932170,3932170,4325386,0,0,0.0024556573,0.0024556573,0.0,0.0,1,1,0,0,1,1,0,0
441951579,3932170,3932170,4259850,0,0,0.039950825,0.039950904,0.0,0.0,3932170,3932170,4325386,0,0,0.00254541,0.00254541,0.0,0.0,1,1,0,0,1,1,0,0
442151661,3932170,3932170,4259850,0,0,0.04223875,0.042238858,0.0,0.0,3932170,3932170,4325386,0,0,0.0033172045,0.0033172045,0.0,0.0,1,1,0,0,1,1,0,0
442351671,3932170,3932170,4259850,0,0,0.041338865,0.04133897,0.0,0.0,3932170,3932170,4325386,0,0,0.002893749,0.002893749,0.0,0.0,1,1,0,0,1,1,0,0
442546847,3932170,3932170,4259850,0,0,0.04164284,0.04164278,0.0,0.0,3932170,3932170,4325386,0,0,0.0029364822,0.0029364827,0.0,0.0,1,1,0,0,1,1,0,0
442746887,3932170,3932170,4259850,0,0,0.041484438,0.04148448,0.0,0.0,3932170,3932170,4325386,0,0,0.0031364742,0.0031364742,0.0,0.0,1,1,0,0,1,1,0,0
442951841,3932170,3932170,4259850,0,0,0.03753185,0.03753187,0.0,0.0,3932170,3932170,4325386,0,0,0.0022590077,0.0022590074,0.0,0.0,1,1,0,0,1,1,0,0
443151887,3932170,3932170,4259850,0,0,0.04027939,0.040279336,0.0,0.0,3932170,3932170,4325386,0,0,0.003123978,0.003123978,0.0,0.0,1,1,0,0,1,1,0,0
443351955,3932170,3932170,4259850,0,0,0.04037224,0.040372267,0.0,0.0,3932170,3932170,4325386,0,0,0.0033930298,0.0033930298,0.0,0.0,1,1,0,0,1,1,0,0
443547022,3932170,3932170,4259850,0,0,0.04389464,0.043894637,0.0,0.0,3932170,3932170,4325386,0,0,0.002851277,0.002851277,0.0,0.0,1,1,0,0,1,1,0,0
443747078,3932170,3932170,4259850,0,0,0.040328845,0.04032877,0.0,0.0,3932170,3932170,4325386,0,0,0.0033397146,0.0033397146,0.0,0.0,1,1,0,0,1,1,0,0
443947142,3932170,3932170,4259850,0,0,0.040739432,0.040739413,0.0,0.0,3932170,3932170,4325386,0,0,0.0033290351,0.003329035,0.0,0.0,1,1,0,0,1,1,0,0
444147238,3932170,3932170,4259850,0,0,0.040991694,0.04099163,0.0,0.0,3932170,3932170,4325386,0,0,0.0034813425,0.0034813422,0.0,0.0,1,1,0,0,1,1,0,0
444347253,3932170,3932170,4259850,0,0,0.03897484,0.038974866,0.0,0.0,3932170,3932170,4325386,0,0,0.0035307854,0.0035307857,0.0,0.0,1,1,0,0,1,1,0,0
444552367,3932170,3932170,4259850,0,0,0.03711584,0.037115797,0.0,0.0,3932170,3932170,4325386,0,0,0.0027062248,0.0027062248,0.0,0.0,1,1,0,0,1,1,0,0
444752467,3932170,3932170,4259850,0,0,0.03532274,0.03532277,0.0,0.0,3932170,3932170,4325386,0,0,0.0027622848,0.0027622848,0.0,0.0,1,1,0,0,1,1,0,0
444947484,3932170,3932170,4259850,0,0,0.041360438,0.041360475,0.0,0.0,3932170,3932170,4325386,0,0,0.003296981,0.003296981,0.0,0.0,1,1,0,0,1,1,0,0
445147503,3932170,3932170,4259850,0,0,0.040362854,0.040362865,0.0,0.0,3932170,3932170,4325386,0,0,0.0032326982,0.0032326982,0.0,0.0,1,1,0,0,1,1,0,0
445347556,3932170,3932170,4259850,0,0,0.038129475,0.03812958,0.0,0.0,3932170,3932170,4325386,0,0,0.003068676,0.003068676,0.0,0.0,1,1,0,0,1,1,0,0
445547694,3932170,3932170,4259850,0,0,0.037614897,0.037614837,0.0,0.0,3932170,3932170,4325386,0,0,0.00339744,0.00339744,0.0,0.0,1,1,0,0,1,1,0,0
445752672,3932170,3932170,4259850,0,0,0.04076217,0.04076212,0.0,0.0,3932170,3932170,4325386,0,0,0.0031699648,0.0031699648,0.0,0.0,1,1,0,0,1,1,0,0
445952748,3932170,3932170,4259850,0,0,0.038034543,0.03803456,0.0,0.0,3932170,3932170,4325386,0,0,0.0028776182,0.002877618,0.0,0.0,1,1,0,0,1,1,0,0
446147897,3932170,3932170,4259850,0,0,0.039381113,0.039381135,0.0,0.0,3932170,3932170,4325386,0,0,0.0025336542,0.0025336542,0.0,0.0,1,1,0,0,1,1,0,0
446347897,3932170,3932170,4259850,0,0,0.03896742,0.03896742,0.0,0.0,3932170,3932170,4325386,0,0,0.0027316208,0.0027316206,0.0,0.0,1,1,0,0,1,1,0,0
