timestamp,load,ram_usage
85449048,0.641724,0.64287865
85949053,0.74500954,0.7719768
86449194,0.6953261,0.7719768
86949100,0.6670401,0.7719768
87449094,0.6604105,0.7719768
87949049,0.65848243,0.7719768
88449336,0.6565407,0.7719768
88949317,0.65411687,0.7719768
89449049,0.65966064,0.7719768
89949075,0.6589011,0.7719768
90449112,0.6610271,0.7719768
90949065,0.66122353,0.7719768
91449047,0.6633752,0.7719768
91949102,0.6567863,0.7719768
92449081,0.6571324,0.7719768
92949100,0.65816617,0.7719768
93449051,0.6638957,0.7725126
93949050,0.6576034,0.7725126
94449196,0.6562537,0.7725126
94949205,0.6586368,0.7725126
95449332,0.6585902,0.7725126
95949821,0.6581701,0.7725126
96449844,0.6615088,0.7725126
96949474,0.66134965,0.7725126
97449481,0.6610105,0.7725126
97949101,0.65872014,0.7725126
98449083,0.6587406,0.7725126
98949056,0.6614094,0.7725126
99449048,0.6601166,0.7725126
99949049,0.6530833,0.7725126
100449049,0.66150135,0.7725126
100949082,0.65827,0.7725126
101449079,0.6609937,0.7725126
101949048,0.6578814,0.7725126
102449140,0.65605485,0.7725126
102949309,0.6618252,0.7725126
103449932,0.6603652,0.7725126
103949104,0.6611388,0.7725126
104449287,0.66238946,0.7725126
104949224,0.6596544,0.7725126
105449049,0.660566,0.7725126
105949083,0.6633481,0.7725126
106449051,0.65625656,0.7725126
106949052,0.66078866,0.7725126
107451168,0.6585083,0.7725126
107949046,0.65455925,0.7725126
108449049,0.6612327,0.7725126
108949050,0.6566847,0.7725126
109449048,0.6629033,0.7725126
109949079,0.6593151,0.7725126
110449079,0.6617913,0.7725126
110949472,0.6565665,0.7725126
111449051,0.6627207,0.7725126
111949163,0.65668553,0.7725126
112449239,0.6639155,0.7725126
112949191,0.65303266,0.7725126
113449077,0.66070986,0.7725126
113949508,0.658913,0.7725126
114449050,0.6580802,0.7725126
114949049,0.6611607,0.7725126
115449070,0.6611942,0.7725126
115949049,0.65847373,0.7725126
116449049,0.663154,0.7725126
116949050,0.65635335,0.7725126
117449059,0.66180205,0.7725126
117949482,0.6602754,0.7725126
118449164,0.6608153,0.7725126
118949083,0.65696967,0.7725126
119449759,0.6584871,0.7725126
119949286,0.6587775,0.7725126
120449311,0.6635994,0.7725126
120949077,0.6551913,0.7725126
121449690,0.66545725,0.7725126
121951379,0.65911365,0.7725126
122449051,0.66173506,0.7725126
122949436,0.65971935,0.7725126
123449300,0.66371787,0.7725126
123949533,0.65990335,0.7725126
124449452,0.6612601,0.7725126
124949705,0.65607524,0.7725126
125450308,0.66021764,0.7725126
125951147,0.6595621,0.7725126
126450042,0.6479004,0.7725126
126949824,0.6569698,0.7725126
127450151,0.6627947,0.7725126
127949048,0.66065335,0.7725126
128449125,0.66408217,0.7725126
128949064,0.65656495,0.7725126
129449047,0.6638292,0.7725126
129949050,0.6600047,0.7725126
130449051,0.65861005,0.7725126
130949102,0.6562172,0.7725126
131451696,0.6652037,0.7725126
131949089,0.6533544,0.7725126
132449085,0.66217804,0.7725126
132949048,0.6570813,0.7725126
133449475,0.6612115,0.7725126
133949147,0.6610746,0.7725126
134449368,0.6591108,0.7725126
134949182,0.6601259,0.7725126
135449068,0.656947,0.7725126
135949048,0.658409,0.7725126
136449049,0.65645933,0.7725126
136949084,0.6572025,0.7725126
137449048,0.65715814,0.7725126
137949057,0.6575408,0.7725126
138449050,0.65714455,0.7725126
138949050,0.658612,0.7725126
139449049,0.66055465,0.7725126
139949049,0.659438,0.7725126
140449322,0.65885556,0.7725126
140949116,0.65061605,0.7725126
141449144,0.6619116,0.7725126
141949192,0.66094494,0.7725126
142449046,0.658532,0.7725126
142949078,0.6574153,0.7725126
143449246,0.6602125,0.7725126
143949052,0.65960264,0.7725126
144449134,0.6602477,0.7725126
144949049,0.65932405,0.7725126
145449049,0.66231537,0.7725126
145949055,0.661966,0.7725126
146449051,0.6597073,0.7725126
146949076,0.6625949,0.7725126
147449776,0.66134083,0.7725126
147949694,0.65810984,0.7725126
148449083,0.6582258,0.7725126
148949189,0.6589695,0.7725126
149449276,0.6569753,0.7725126
149949081,0.66220367,0.7725126
150449048,0.66154534,0.7725126
150949239,0.6612574,0.7725126
151450426,0.6615015,0.7725126
151949348,0.6591627,0.7725126
152449049,0.661988,0.7725126
152949050,0.66162,0.7725126
153449050,0.660444,0.7725126
153949145,0.6572865,0.7725126
154449263,0.65619844,0.7725126
154949303,0.65939724,0.7725126
155449764,0.6588813,0.7725126
155949602,0.66397464,0.7725126
156449049,0.6613875,0.7725126
156949083,0.6593385,0.7725126
157449123,0.6631731,0.7725126
157949049,0.66097534,0.7725126
158449081,0.65957534,0.7725126
158949048,0.65921664,0.7725126
159449047,0.6542273,0.7725126
159949050,0.66218936,0.7725126
160449048,0.65946734,0.7725126
160949072,0.6573198,0.7725126
161449054,0.6637452,0.7725126
161949150,0.6630038,0.7725126
162449089,0.66271377,0.7725126
162949602,0.66068625,0.7725126
163449179,0.65727687,0.7725126
163949075,0.66107833,0.7725126
164449047,0.659871,0.7725126
164949049,0.655652,0.7725126
165449049,0.660402,0.7725126
165949050,0.6555507,0.7725126
166449203,0.6595675,0.7725126
166949049,0.6593191,0.7725126
167449103,0.66448736,0.7725126
167949103,0.6607899,0.7725126
168449128,0.6623925,0.7725126
168949180,0.6597328,0.7738187
169449131,0.6630023,0.7738187
169949190,0.655612,0.7738187
170449601,0.65639853,0.7738187
170949069,0.65555036,0.7738187
171449162,0.6554902,0.7738187
171949050,0.6558266,0.7738187
172449051,0.66024005,0.7738187
172949138,0.6563826,0.7738187
173449051,0.660026,0.7738187
173949936,0.7149554,0.7738187
174449071,0.69838864,0.7738187
