timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
111366824,63.95117,6092.3286,0,20,13258,65536,0,3,239
112368879,114.956055,113.53101,0,20,7388,65536,0,3,239
113370308,152.31934,75.631004,0,20,7554,65536,0,3,239
114370762,192.0,63.693527,0,20,5049,65536,0,3,239
115371644,226.40625,56.38565,0,20,8272,65536,0,3,239
116372809,264.8291,52.791786,0,20,7146,65536,0,3,239
117373788,301.1455,50.045277,0,20,8019,65536,0,3,239
118374649,338.33105,48.20683,0,20,8019,65536,0,3,239
119375647,375.3672,46.807858,0,20,8172,65536,0,3,239
120376678,414.00488,45.896755,0,20,6685,65536,0,3,239
121377662,457.47266,45.64987,0,20,252,65536,0,3,239
122379113,494.7754,44.8866,0,20,302,65536,0,3,239
123379644,532.37695,44.27871,0,20,252,65536,0,3,239
124380758,569.5,43.72552,0,20,302,65536,0,3,239
125381650,607.083,43.28478,0,20,405,65536,0,3,239
126382673,644.23145,42.87346,0,20,443,65536,0,3,239
127383801,681.36816,42.512512,0,20,302,65536,0,3,239
128384836,718.5537,42.197098,0,20,302,65536,0,3,239
129385638,755.73926,41.917255,0,20,302,65536,0,3,239
130387026,792.9248,41.66556,0,20,455,65536,0,3,239
131387653,830.0615,41.438175,0,20,505,65536,0,3,239
132388741,867.6631,41.253616,0,20,455,65536,0,3,239
133389650,904.84863,41.06728,0,20,455,65536,0,3,239
134390751,942.0342,40.896797,0,20,455,65536,0,3,239
135391673,979.1709,40.73879,0,20,505,65536,0,3,239
136392893,1016.35645,40.59488,0,20,505,65536,0,3,239
137393755,1053.542,40.4626,0,20,505,65536,0,3,239
138396091,1088.0,40.23708,0,20,3298,65536,0,3,239
139396554,1128.665,40.251637,0,20,555,65536,0,3,239
140397375,1164.666,40.10413,0,20,1912,65536,0,3,239
141397646,1203.3301,40.055832,0,20,544,65536,0,3,239
142398781,1241.2715,39.98625,0,20,544,65536,0,3,239
143399664,1280.0,39.945904,0,20,3674,65536,0,3,239
144400668,1326.9961,40.158047,0,20,784,65536,0,3,239
145401675,1370.5186,40.255676,0,20,714,65536,0,3,239
146403164,1408.0,40.174812,0,20,3350,65536,0,3,239
147403895,1450.5615,40.240204,0,20,594,65536,0,3,239
148405052,1490.1484,40.221317,0,20,594,65536,0,3,239
149405644,1529.4795,40.197296,0,20,735,65536,0,3,239
150406692,1568.7266,40.17188,0,20,788,65536,0,3,239
151408422,1608.2754,40.154587,0,20,1029,65536,0,3,239
152408653,1648.1768,40.148193,0,20,1029,65536,0,3,239
153409741,1688.1953,40.14407,0,20,1029,65536,0,3,239
154410642,1728.0,40.13535,0,20,1968,65536,0,3,239
155412406,1768.584,40.143925,0,20,969,65536,0,3,239
156412681,1809.0713,40.151302,0,20,878,65536,0,3,239
157413794,1849.3242,40.152534,0,20,998,65536,0,3,239
158414647,1890.6318,40.176357,0,20,878,65536,0,3,239
159415724,1931.0703,40.180912,0,20,928,65536,0,3,239
160416661,1971.544,40.186108,0,20,1384,65536,0,3,239
161417694,2011.5762,40.182205,0,20,1130,65536,0,3,239
162418655,2052.0898,40.187943,0,20,383,65536,0,3,239
163420227,2090.6758,40.15596,0,20,1198,65536,0,3,239
164420697,2129.9775,40.139507,0,20,1332,65536,0,3,239
165421683,2169.3066,40.123783,0,20,1198,65536,0,3,239
166422649,2208.3877,40.104145,0,20,1198,65536,0,3,239
167423845,2248.0547,40.095493,0,20,1198,65536,0,3,239
168424646,2287.8389,40.089474,0,20,1244,65536,0,3,239
169425835,2327.5059,40.08138,0,20,1364,65536,0,3,239
170426655,2368.0,40.087807,0,20,620,65536,0,3,239
171428529,2407.4014,40.075134,0,20,1379,65536,0,3,239
172429417,2448.752,40.095432,0,20,1379,65536,0,3,239
173429889,2489.5088,40.105785,0,20,1789,65536,0,3,239
174430805,2529.331,40.1007,0,20,1429,65536,0,3,239
175431902,2570.7861,40.121155,0,20,1830,65536,0,3,239
176432701,2612.9727,40.152397,0,20,1733,65536,0,3,239
177433879,2653.08,40.151005,0,20,1613,65536,0,3,239
178434645,2693.6895,40.157375,0,20,1663,65536,0,3,239
179436104,2733.9639,40.158237,0,20,1636,65536,0,3,239
180436681,2774.0908,40.157448,0,20,1663,65536,0,3,239
181437748,2814.0146,40.153503,0,20,1686,65536,0,3,239
182438685,2853.7646,40.147297,0,20,1686,65536,0,3,239
