timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
111365407,0.0,0.0,0.0,0.0
111366671,0.0,0.0,0.0,0.0
111566738,0.0,0.0,0.0,0.0
111765578,0.0,0.0,0.0,0.0
111969387,0.0,0.0,0.0,0.0
112168208,0.0,0.0,0.0,0.0
112368281,0.0,0.0,0.0,0.0
112567145,0.0,0.0,0.0,0.0
112767179,0.0,0.0,0.0,0.0
112967265,0.0,0.0,0.0,0.0
113166099,0.0,0.0,0.0,0.0
113368680,0.0,0.0,0.0,0.0
113566242,0.0,0.0,0.0,0.0
113766331,0.0,0.0,0.0,0.0
113967652,0.0,0.0,0.0,0.0
114166482,0.0,0.0,0.0,0.0
114366557,0.0,0.0,0.0,0.0
114566640,0.0,0.0,0.0,0.0
114765453,0.0,0.0,0.0,0.0
114966785,0.0,0.0,0.0,0.0
115168104,0.0,0.0,0.0,0.0
115368186,0.0,0.0,0.0,0.0
115567017,0.0,0.0,0.0,0.0
115767094,0.0,0.0,0.0,0.0
115965909,0.0,0.0,0.0,0.0
116167246,0.0,0.0,0.0,0.0
116368565,0.0,0.0,0.0,0.0
116568658,0.0,0.0,0.0,0.0
116767480,0.0,0.0,0.0,0.0
116967552,0.0,0.0,0.0,0.0
117167652,0.0,0.0,0.0,0.0
117366459,0.0,0.0,0.0,0.0
117569028,0.0,0.0,0.0,0.0
117769126,0.0,0.0,0.0,0.0
117967931,0.0,0.0,0.0,0.0
118168012,0.0,0.0,0.0,0.0
118366849,0.0,0.0,0.0,0.0
118566914,0.0,0.0,0.0,0.0
118765738,0.0,0.0,0.0,0.0
118969576,0.0,0.0,0.0,0.0
119168403,0.0,0.0,0.0,0.0
119368471,0.0,0.0,0.0,0.0
119568553,0.0,0.0,0.0,0.0
119768637,0.0,0.0,0.0,0.0
119966256,0.0,0.0,0.0,0.0
120166287,0.0,0.0,0.0,0.0
120368874,0.0,0.0,0.0,0.0
120568946,0.0,0.0,0.0,0.0
120769021,0.0,0.0,0.0,0.0
120967843,0.0,0.0,0.0,0.0
