timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
280250757,15.275847,15.357949,0.0,3.5e-44,-1.0,357.3602,0.6177946,1.054746,nan,4,3.8394873,3.8394873,3.8394873,3.8394873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
280260945,15.536477,15.359717,0.0,3.5e-44,-1.0,357.3602,0.6185985,1.0546246,nan,4,3.8399293,3.8399293,3.8399293,3.8399293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
280450878,15.507519,15.361071,0.0,3.5e-44,-1.0,357.3602,0.61921364,1.0545317,nan,4,3.8402677,3.8402677,3.8402677,3.8402677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
280650726,15.406162,15.362783,0.0,3.5e-44,-1.0,357.3602,0.6199923,1.0544142,nan,4,3.8406959,3.8406959,3.8406959,3.8406959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
280850726,15.536477,15.359315,0.0,3.5e-44,-1.0,357.3602,0.6184154,1.0546522,nan,4,3.8398287,3.8398287,3.8398287,3.8398287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
281050723,15.319285,15.353468,0.0,3.5e-44,-1.0,357.3602,0.615758,1.0550538,nan,4,3.838367,3.838367,3.838367,3.838367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
281250719,15.493039,15.357694,0.0,3.5e-44,-1.0,357.3602,0.6176787,1.0547636,nan,4,3.8394234,3.8394234,3.8394234,3.8394234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
281450725,15.319285,15.3478365,0.0,3.5e-44,-1.0,357.3602,0.61319786,1.0554409,nan,4,3.8369591,3.8369591,3.8369591,3.8369591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
281650718,15.406162,15.360694,0.0,3.5e-44,-1.0,357.3602,0.61904246,1.0545576,nan,4,3.8401735,3.8401735,3.8401735,3.8401735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
281850758,15.319285,15.36563,0.0,3.5e-44,-1.0,357.3602,0.621286,1.0542188,nan,4,3.8414075,3.8414075,3.8414075,3.8414075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
