timestamp,mag_inconsistency_angle
2090541497,0.0
2090561525,0.0
2091053332,0.0
2091544173,0.0
2092055955,0.0
2092546525,0.0
2093056805,0.0
2093548573,0.0
2094039151,0.0
2094550931,0.0
2095041113,0.0
2095552806,0.0
2096043548,0.0
2096555010,0.0
2097045573,0.0
2097536072,0.0
2098047523,0.0
2098538143,0.0
2099049961,0.0
2099540206,0.0
2100052004,0.0
2100542597,0.0
2101054391,0.0
2101544917,0.0
2102055576,0.0
2102547306,0.0
2103037538,0.0
2103549301,0.0
2104039912,0.0
2104551368,0.0
2105041923,0.0
2105554031,0.0
2106044247,0.0
2106556097,0.0
2107046694,0.0
2107536927,0.0
2108048696,0.0
2108539202,0.0
2109051392,0.0
2109541592,0.0
2110053437,0.0
2110544314,0.0
2111034500,0.0
2111546340,0.0
2112036819,0.0
2112548421,0.0
2113038873,0.0
2113550706,0.0
2114040931,0.0
2114552757,0.0
2115043579,0.0
2115553825,0.0
2116045662,0.0
2116556330,0.0
2117048040,0.0
2117538193,0.0
2118050014,0.0
2118540775,0.0
2119052079,0.0
2119542588,0.0
2120054429,0.0
2120544663,0.0
2121056450,0.0
2121547048,0.0
2122037264,0.0
2122549155,0.0
2123039666,0.0
2123551431,0.0
2124041664,0.0
2124553455,0.0
2125044045,0.0
2125342313,0.0
2126771107,0.0
2126792364,0.0
2127261383,0.0
2127773136,0.0
2128263663,0.0
2128775497,0.0
2129266040,0.0
2129756535,0.0
2130268385,0.0
2130758674,0.0
2131270435,0.0
2131761156,0.0
2132272716,0.0
2132763597,0.0
2133275377,0.0
2133765660,0.0
2134256205,0.0
2134767924,0.0
2135258220,0.0
2135770048,0.0
2136260606,0.0
2136772731,0.0
2137262921,0.0
2137753539,0.0
2138265392,0.0
2138755494,0.0
2139267343,0.0
2139757929,0.0
2140269343,0.0
2140759917,0.0
2141271788,0.0
2141761936,0.0
2142273777,0.0
2142764651,0.0
2143254841,0.0
2143766880,0.0
2144257167,0.0
2144769015,0.0
2145259214,0.0
2145771056,0.0
2146261665,0.0
2146773065,0.0
2147263583,0.0
2147775325,0.0
2148265664,0.0
2148756210,0.0
2149268023,0.0
2149758204,0.0
2150269981,0.0
2150760567,0.0
2151272399,0.0
2151762609,0.0
2152273218,0.0
2152764962,0.0
2153255145,0.0
2153766987,0.0
2154257557,0.0
2154769017,0.0
2155259632,0.0
2155771382,0.0
2156261508,0.0
2156773435,0.0
2157263961,0.0
2157775814,0.0
2158265987,0.0
2158756595,0.0
2159268433,0.0
2159758569,0.0
2160270350,0.0
2160760940,0.0
2161272421,0.0
2161762957,0.0
2162253535,0.0
2162764944,0.0
2163255524,0.0
2163767349,0.0
2164257566,0.0
2164769320,0.0
2165259918,0.0
2165771706,0.0
2166261906,0.0
2166773728,0.0
2167264282,0.0
2167774528,0.0
2168266305,0.0
2168757074,0.0
2169268608,0.0
2169759161,0.0
2170271020,0.0
2170761248,0.0
2171273359,0.0
2171763909,0.0
2172275684,0.0
2172765887,0.0
2173256694,0.0
2173768643,0.0
2174258767,0.0
2174770564,0.0
2175261174,0.0
2175772645,0.0
2176263133,0.0
2176773808,0.0
2177265126,0.0
2177755795,0.0
2178267577,0.0
2178757754,0.0
2179248347,0.0
2194280284,0.0
2194281488,0.0
2194772090,0.0
2195262245,0.0
2195774330,0.0
2196264973,0.0
2196776361,0.0
2197266948,0.0
2197778987,0.0
2198269258,0.0
2198781020,0.0
2199271526,0.0
2199783417,0.0
2200273589,0.0
2200764145,0.0
2201276291,0.0
2201766451,0.0
2202278266,0.0
2202768832,0.0
2203280285,0.0
2203770810,0.0
2204282603,0.0
2204772913,0.0
2205263679,0.0
2205775595,0.0
2206265681,0.0
2206777769,0.0
2207268344,0.0
2207780209,0.0
2208270470,0.0
2208761442,0.0
2209273383,0.0
2209763578,0.0
2210275233,0.0
2210765839,0.0
2211277204,0.0
2211767844,0.0
2212280037,0.0
2212770133,0.0
2213282030,0.0
