timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
85741141,85740848,-0.31833377,-0.24856463,-9.794779
85746204,85745847,-0.301999,-0.24406418,-9.802266
85791243,85790853,-0.31208605,-0.27150488,-9.85308
85841164,85840863,-0.31615803,-0.3176641,-9.787456
85891166,85890871,-0.36529672,-0.2985954,-9.762463
85941174,85940878,-0.23840548,-0.28181624,-9.73227
85991282,85990980,-0.41601062,-0.2819614,-9.814672
86041203,86040896,-0.17495963,-0.37403774,-9.6312275
86091206,86090900,-0.4527438,0.094180204,-9.780333
86141264,86140904,-0.61799985,0.13504717,-9.719582
86191224,86190914,-0.5950343,-0.20370108,-9.698309
86241221,86240925,-0.23929,-0.07064419,-9.879573
86291283,86290934,-0.08453868,0.119082205,-9.877932
86341274,86340934,-0.6319632,-0.58465177,-10.327405
86391245,86390943,-0.071194805,-0.37651664,-9.278816
86441278,86440949,-0.615149,0.0142023945,-9.627054
86491263,86490959,-0.023314824,-0.5658057,-9.6738205
86541312,86540964,-0.10608792,0.23836704,-9.492557
86591285,86590977,-0.6182791,-0.4740314,-10.174177
86641273,86640982,-0.17591333,-0.11452088,-9.645195
86691330,86690989,-0.18931648,-0.3808482,-9.36791
86741326,86740994,-0.81984216,-0.44054684,-9.723152
86791299,86791000,-0.099822566,-0.06831856,-9.596872
86841342,86841009,-0.6983393,-0.5915197,-10.38793
86891310,86891016,-0.23960061,-0.12723298,-9.936111
86941328,86941045,-0.42489767,-0.31306207,-9.963546
86991379,86991037,-0.5048363,-0.3815532,-9.564516
87041323,87041037,-0.55773693,-0.31768644,-9.542243
87091383,87091045,-0.6826497,-0.23390673,-9.6241255
87141343,87141055,-0.22438125,-0.52617306,-9.920892
87191348,87191061,-0.60195255,0.022914525,-8.936975
87241357,87241068,-0.6676403,-0.09313883,-9.354568
87291405,87291075,-0.33104077,-0.367666,-10.042801
87341401,87341111,-0.3163783,-0.68954635,-9.541172
87391373,87391089,-0.7022986,-0.2506188,-10.3695345
87441389,87441097,-0.65423083,0.1418196,-10.238495
87491455,87491104,0.38939503,-0.94173187,-10.358312
87541405,87541113,-1.1977319,0.3412547,-10.602307
87591410,87591120,-0.37839335,-0.50398785,-10.644974
87641463,87641127,0.047000643,0.057070114,-11.518564
87691435,87691151,-0.29217348,-0.5870159,-11.344249
87741419,87741142,-1.2130826,-0.8239559,-11.195011
87791464,87791151,0.35208037,-0.15588911,-10.481436
87841518,87841160,-0.7197512,-1.0206828,-10.439373
87891457,87891164,-0.9626378,0.1622548,-9.921524
87941483,87941179,0.89203686,0.2973134,-9.803805
87991499,87991189,-0.23154125,0.027627036,-9.791528
88041554,88041229,-0.4945841,-0.3343107,-9.323486
88091487,88091194,-0.21952029,0.04008253,-9.629554
88141487,88141202,-0.3368966,-0.50716037,-9.225306
88191540,88191209,-0.5580855,-0.2951265,-9.442146
88241566,88241217,-0.52595943,-0.32649124,-9.282879
88291520,88291231,-0.21199678,-0.8532986,-9.251863
88341570,88341233,-0.076931246,-0.43738988,-8.994754
88391528,88391240,-0.30359158,-0.24961407,-9.141366
88441601,88441313,-0.2842543,-0.3057031,-9.216245
88491591,88491254,-0.41060337,-0.6303247,-9.559458
88541542,88541262,-0.18753071,-0.69209445,-9.655161
88591555,88591269,-0.4400665,0.28080195,-9.047587
88641562,88641277,-0.18238147,-0.3331301,-9.191462
88691573,88691284,-0.31573015,0.30059046,-9.344172
88741590,88741297,-0.22275235,-0.43236497,-9.581938
88791638,88791299,-0.33974287,-0.16141497,-9.658732
88841653,88841309,-0.38609475,-0.32614502,-9.615696
88891650,88891314,-0.19239917,-0.5021508,-9.622811
88941619,88941323,-0.2504025,0.13568631,-9.389087
88991668,88991330,-0.26936844,-0.39241397,-9.4999895
89041669,89041337,-0.35998446,-0.6462035,-9.762999
89091638,89091344,-0.15739499,-0.22773819,-9.558946
89141650,89141354,-0.28397456,-0.01824594,-9.777986
89191716,89191359,-0.22087973,-0.4160248,-9.846276
89241654,89241367,-0.008111054,-0.1897147,-9.788653
89291674,89291374,-0.27106732,0.025788045,-9.778895
89341678,89341382,-0.3942426,-0.5851697,-9.931215
89391726,89391431,-0.23671909,-0.21741438,-9.885229
89441721,89441406,-0.37662536,-0.15825693,-10.051607
89491705,89491405,-0.33096132,-0.4083071,-9.93981
89541772,89541413,-0.3653604,-0.5084526,-10.001623
89591731,89591429,-0.23573537,0.15582547,-9.875624
89641718,89641427,-0.19215535,-0.49127036,-9.944144
89691803,89691435,-0.5534742,-0.40027452,-9.683822
89741773,89741443,0.32071593,0.029635567,-9.511446
89791741,89791450,-0.7312105,-0.012782164,-9.887563
89841828,89841470,-0.1157794,-0.5470524,-9.610275
89891761,89891469,0.056829657,0.083678104,-9.653217
89941813,89941475,-0.40865538,-0.10893222,-9.937501
89991768,89991481,-0.3378963,-0.53627086,-9.903858
90041780,90041488,-0.15754177,-0.27618715,-9.721732
90091780,90091496,-0.1741979,-0.046377398,-9.993204
90141820,90141537,-0.18018113,0.14302297,-9.865165
90191803,90191511,-0.38611585,-1.1129291,-9.905055
90241873,90241578,-0.20875928,0.46883905,-9.532958
90291834,90291526,-0.13954216,-0.5733591,-9.620184
90341822,90341535,-0.48176157,-0.41602293,-9.654872
90391907,90391543,-0.18526474,-0.3830993,-8.792769
90441836,90441549,0.31982037,0.7730615,-9.381485
90491898,90491556,-0.61870795,-0.612448,-9.88211
90541905,90541566,-0.40730205,-1.1302184,-9.836589
90591866,90591572,-0.23958272,0.4703509,-10.03369
90641871,90641579,-0.26911777,-0.9604596,-9.897066
90691924,90691587,-0.97373784,-0.25455037,-9.321246
90741882,90741595,0.86837476,1.2865906,-9.86958
90791893,90791602,-0.994037,-2.1858132,-10.066766
90841908,90841614,-0.3173626,0.2621717,-9.745832
90886920,90886620,-0.63841355,-0.3354308,-9.698068
90941924,90941626,-0.05952465,-0.6160949,-9.808061
90991935,90991641,-0.68765235,0.45011398,-9.946401
91042003,91041641,-0.22700064,-1.1011297,-9.760107
91091938,91091648,-0.37993512,-0.44895113,-9.744462
91141950,91141657,0.13049161,0.70978004,-9.68443
91191954,91191665,-0.3778115,-1.2231818,-9.824565
91236955,91236671,-0.5105586,0.09472107,-9.8314
91291974,91291680,-0.026789198,-0.45873654,-9.829672
91341976,91341689,-0.6148545,-0.77945477,-9.883054
91392027,91391695,-0.31008965,0.29409942,-9.962924
91442030,91441702,-0.09259847,-0.89771515,-9.715421
91492005,91491710,-1.095937,-0.6689291,-9.762163
91542006,91541717,0.21149029,-0.11345343,-9.855578
91587007,91586724,0.10737575,-0.51672727,-9.860624
91642070,91641734,-0.5989704,-0.49001962,-9.142398
91692031,91691741,-0.30301505,-0.31669685,-9.718096
