timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
2119775741,nan,nan,nan,1.5032297,0.0,nan,nan,0.0015958428,0.0,0.0,0.159792,nan,nan,8.0,nan,nan,nan
2119795664,nan,nan,nan,1.5032212,0.0,nan,nan,0.0015862695,0.0,0.0,0.159312,nan,nan,8.0,nan,nan,nan
2119976112,nan,nan,nan,1.5031517,0.0,nan,nan,0.0016236063,0.0,0.0,0.161176,nan,nan,8.0,nan,nan,nan
2120175868,nan,nan,nan,1.503146,0.0,nan,nan,0.0015885009,0.0,0.0,0.159424,nan,nan,8.0,nan,nan,nan
2120375984,nan,nan,nan,1.5031528,0.0,nan,nan,0.0015993601,0.0,0.0,0.159968,nan,nan,8.0,nan,nan,nan
2120576212,nan,nan,nan,1.5033392,0.0,0.00256721,-0.0040405137,0.0015591441,-0.030960524,0.04872856,0.157944,nan,nan,8.0,nan,nan,nan
2120776198,nan,nan,nan,1.503352,0.0,0.0021279466,-0.0033964654,0.00160096,-0.039383285,0.06286058,0.160048,nan,nan,8.0,nan,nan,nan
2120976466,nan,nan,nan,1.5032815,0.0,0.0028152503,-0.0031162337,0.0016072079,-0.06253047,0.069215715,0.16036,nan,nan,8.0,nan,nan,nan
2121176808,nan,nan,nan,1.5033665,0.0,0.003262009,-0.002812807,0.0016701934,-0.082716994,0.07132626,0.163472,nan,nan,8.0,nan,nan,nan
2121376573,nan,nan,nan,1.5034767,0.0,0.0029447996,-0.0024229013,0.0016229618,-0.08890732,0.07315052,0.161144,nan,nan,8.0,nan,nan,nan
2121576793,nan,nan,nan,1.5035814,0.0,0.0031537674,-0.002275257,0.0015781551,-0.10119516,0.07300633,0.158904,nan,nan,8.0,nan,nan,nan
2121776930,nan,nan,nan,1.5036426,0.0,0.0032690961,-0.0017975379,0.0016423566,-0.114560775,0.06299213,0.162104,nan,nan,8.0,nan,nan,nan
2121976862,nan,nan,nan,1.5036695,0.0,0.002901567,-0.0011435712,0.0015700612,-0.11832972,0.04663634,0.15849599,nan,nan,8.0,nan,nan,nan
2122177183,nan,nan,nan,1.5036821,0.0,0.002840605,-0.0008201986,0.0016290911,-0.12472103,0.036012042,0.161448,nan,nan,8.0,nan,nan,nan
2122377010,nan,nan,nan,1.5037419,0.0,0.0030457154,-0.00056453,0.0016051241,-0.13281803,0.024618115,0.160256,nan,nan,8.0,nan,nan,nan
2122497178,nan,nan,nan,1.5037724,0.0,nan,nan,0.0015684769,0.0,0.0,0.158416,nan,nan,8.0,nan,nan,nan
