timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
280250260,0.0,0.0,0.0,0.0
280251489,0.0,0.0,0.0,0.0
280451535,0.0,0.0,0.0,0.0
280650321,0.0,0.0,0.0,0.0
280850375,0.0,0.0,0.0,0.0
281050423,0.0,0.0,0.0,0.0
281252958,0.0,0.0,0.0,0.0
281451759,0.0,0.0,0.0,0.0
281651806,0.0,0.0,0.0,0.0
281851858,0.0,0.0,0.0,0.0
282050663,0.0,0.0,0.0,0.0
282250718,0.0,0.0,0.0,0.0
282453257,0.0,0.0,0.0,0.0
282653299,0.0,0.0,0.0,0.0
282852108,0.0,0.0,0.0,0.0
283052155,0.0,0.0,0.0,0.0
283250947,0.0,0.0,0.0,0.0
283450994,0.0,0.0,0.0,0.0
283649789,0.0,0.0,0.0,0.0
283851097,0.0,0.0,0.0,0.0
284051137,0.0,0.0,0.0,0.0
284252443,0.0,0.0,0.0,0.0
284451229,0.0,0.0,0.0,0.0
284651281,0.0,0.0,0.0,0.0
284851328,0.0,0.0,0.0,0.0
285051383,0.0,0.0,0.0,0.0
285250182,0.0,0.0,0.0,0.0
285452720,0.0,0.0,0.0,0.0
285652768,0.0,0.0,0.0,0.0
285851573,0.0,0.0,0.0,0.0
286051626,0.0,0.0,0.0,0.0
286251685,0.0,0.0,0.0,0.0
286451716,0.0,0.0,0.0,0.0
286653014,0.0,0.0,0.0,0.0
286853063,0.0,0.0,0.0,0.0
287051866,0.0,0.0,0.0,0.0
287251913,0.0,0.0,0.0,0.0
287450711,0.0,0.0,0.0,0.0
287650752,0.0,0.0,0.0,0.0
287850802,0.0,0.0,0.0,0.0
288052107,0.0,0.0,0.0,0.0
288253414,0.0,0.0,0.0,0.0
288452211,0.0,0.0,0.0,0.0
288652259,0.0,0.0,0.0,0.0
288851054,0.0,0.0,0.0,0.0
289052355,0.0,0.0,0.0,0.0
289249898,0.0,0.0,0.0,0.0
289453708,0.0,0.0,0.0,0.0
289652501,0.0,0.0,0.0,0.0
289852589,0.0,0.0,0.0,0.0
290052600,0.0,0.0,0.0,0.0
290252658,0.0,0.0,0.0,0.0
290450196,0.0,0.0,0.0,0.0
290650251,0.0,0.0,0.0,0.0
290852804,0.0,0.0,0.0,0.0
291052853,0.0,0.0,0.0,0.0
291252916,0.0,0.0,0.0,0.0
291451695,0.0,0.0,0.0,0.0
291651745,0.0,0.0,0.0,0.0
291850536,0.0,0.0,0.0,0.0
292050649,0.0,0.0,0.0,0.0
292253139,-0.0005612842,0.0007805532,-0.0024795237,0.0
292453215,-0.006422046,0.0078812,-0.02569418,0.0
292651986,-0.009823988,0.01656242,-0.04676209,0.0
292852035,-0.013249129,0.02154924,-0.053398542,0.0
293052091,-0.016220257,0.025716772,-0.04839524,0.0
293250892,-0.014522081,0.02871446,-0.038412612,0.0
293450935,-0.011117399,0.025286412,-0.026985666,0.0
293653531,-0.0015435864,0.01619096,-0.013558388,0.0
293852277,-0.0077844863,0.022917278,-0.005126661,0.0
294053585,-0.01180076,0.027083032,0.0009402995,0.0
294252393,-0.0134662045,0.0313849,0.005477053,0.0
294451183,-0.01533976,0.03549542,0.00901278,0.0
294651272,-0.017638294,0.037931126,0.012062764,0.0
294850033,-0.019624729,0.0403548,0.014722055,0.0
295053847,-0.020543478,0.04285054,0.01734948,0.0
295253885,-0.017632253,0.04046819,0.020889282,0.0
295452690,-0.016900808,0.039858848,0.023337692,0.0
295651475,-0.015958492,0.03829101,0.025169935,0.0
295851525,-0.01886143,0.040861964,0.02632608,0.0
296050332,-0.019546332,0.04313522,0.027122125,0.0
296250375,-0.011777138,0.036090303,0.029666586,0.0
296452932,-0.001965309,0.026760325,0.03396633,0.0
296652984,0.0026585234,0.021808272,0.03785718,0.0
296851782,0.0027618096,0.02184683,0.03965227,0.0
297051834,0.0056130453,0.01934378,0.04169278,0.0
297251887,-0.0011006714,0.025625391,0.041225716,0.0
297450689,-0.004507211,0.02884957,0.040377483,0.0
