timestamp,speed_xy,speed_up,speed_down,want_takeoff
564079351,5.0,3.0,1.0,0
564099247,5.0,3.0,1.0,0
565079530,5.0,3.0,1.0,0
566079864,5.0,3.0,1.0,0
567080208,5.0,3.0,1.0,0
568080430,5.0,3.0,1.0,0
569080859,5.0,3.0,1.0,0
570081326,5.0,3.0,1.0,0
571081565,5.0,3.0,1.0,0
571361824,5.0,3.0,1.0,0
589038115,5.0,3.0,1.0,0
589057452,5.0,3.0,1.0,0
590037752,5.0,3.0,1.0,0
591038150,5.0,3.0,1.0,0
592038429,5.0,3.0,1.0,0
593038704,5.0,3.0,1.0,0
594039153,5.0,3.0,1.0,0
595039271,5.0,3.0,1.0,0
596039625,5.0,3.0,1.0,0
597039943,5.0,3.0,1.0,0
598040305,5.0,3.0,1.0,0
599040578,5.0,3.0,1.0,0
