timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
111332562,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111376787,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111460026,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111545392,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111652329,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111758957,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111862799,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
111953003,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112048997,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112157283,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112266559,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112350325,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112452782,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112557202,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112662682,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112682876,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112829227,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
112938342,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113066669,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113148487,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113254265,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113360714,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113466109,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113551415,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113639385,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
113743098,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
