timestamp,timestamp_sample,device_id,error_count,pressure,temperature
2201550172,2201550163,3997730,0,997.52997,47.92
2202554285,2202554276,3997730,0,997.5,47.899998
2203538328,2203538319,3997730,0,997.41,47.879997
2204542589,2204542580,3997730,0,997.47,47.86
2205546889,2205546880,3997730,0,997.44,47.84
2206551060,2206551052,3997730,0,997.45996,47.82
2207555326,2207555317,3997730,0,997.47,47.809998
2208549616,2208549607,3997730,0,997.48,47.789997
2209553737,2209553728,3997730,0,997.5,47.77
2210547824,2210547816,3997730,0,997.48,47.75
2211551989,2211551980,3997730,0,997.51996,47.739998
2212536362,2212536354,3997730,0,997.49,47.719997
2213540428,2213540419,3997730,0,997.50995,47.7
2214544647,2214544638,3997730,0,997.5,47.69
2215548941,2215548931,3997730,0,997.50995,47.67
2216553192,2216553183,3997730,0,997.44,47.66
2217557405,2217557396,3997730,0,997.47,47.64
2218551489,2218551481,3997730,0,997.49,47.629997
2219545863,2219545854,3997730,0,997.47,47.61
2220550028,2220550019,3997730,0,997.5,47.6
2221554335,2221554326,3997730,0,997.47,47.59
2222538468,2222538460,3997730,0,997.43,47.57
2223542533,2223542525,3997730,0,997.5,47.559998
2224546758,2224546749,3997730,0,997.45996,47.55
2225550730,2225550722,3997730,0,997.47,47.53
2226554779,2226554770,3997730,0,997.47,47.52
2227548954,2227548946,3997730,0,997.47,47.5
2228553104,2228553096,3997730,0,997.47,47.489998
2229557326,2229557318,3997730,0,997.48,47.48
2230551240,2230551232,3997730,0,997.51996,47.46
2231555648,2231555617,3997730,0,997.5,47.44
2232539873,2232539865,3997730,0,997.48,47.42
2233543911,2233543903,3997730,0,997.47,47.399998
2234547950,2234547942,3997730,0,997.44995,47.379997
2235552069,2235552061,3997730,0,997.43,47.36
2236546176,2236546168,3997730,0,997.47,47.34
2237550308,2237550300,3997730,0,997.49,47.309998
2238554501,2238554492,3997730,0,997.47,47.3
2239548799,2239548791,3997730,0,997.48,47.27
2240552881,2240552872,3997730,0,997.45996,47.25
2241537024,2241537016,3997730,0,997.42,47.23
2242541140,2242541131,3997730,0,997.42,47.21
2243545415,2243545407,3997730,0,997.45996,47.2
2244549560,2244549552,3997730,0,997.45996,47.17
2245553705,2245553697,3997730,0,997.44995,47.149998
2246547799,2246547745,3997730,0,997.47,47.129997
2247552135,2247552126,3997730,0,997.48,47.12
2248546393,2248546384,3997730,0,997.43,47.09
2249550625,2249550617,3997730,0,997.44995,47.079998
2250534990,2250534981,3997730,0,997.44995,47.059998
2251539277,2251539268,3997730,0,997.45996,47.039997
2252543433,2252543425,3997730,0,997.48,47.02
2253547854,2253547846,3997730,0,997.43,47.0
2254552317,2254552309,3997730,0,997.41,46.989998
