timestamp,saturation_status
111355247,1533
111377267,1533
112350822,1533
113361243,1533
114352993,1533
115360555,1533
116350977,1533
117359747,1533
118364768,1533
119361234,1533
120369692,1533
121357912,1533
122352456,1533
123357912,1533
124357486,1533
125353755,1533
126365593,1533
127359216,1533
128356233,1533
129357410,1533
130352546,1533
131358348,1533
132363918,1533
133354636,1533
134360660,1533
135353332,1533
136358002,1533
137368336,1533
138347678,1533
139358886,1533
140358859,1533
141354262,1533
142366024,1333
143359913,1
144364526,1
145350667,1
146361436,1
147355891,1
148366120,1
149362581,1
150352805,1
151363351,1
152352047,1
153363279,1
154349565,1
155363240,1
156364537,1
157364049,1
158361054,1
159361184,1
160349588,1
161352179,1
162358884,1
163346172,1
164352410,1
165353795,1
166357596,1
167347676,1
168358064,1
169355368,1
170356969,1
171355128,1
172358951,1
173360020,1
174347349,5
175352903,1533
176364285,1533
177357436,1533
178348763,1533
179355411,1533
180363952,1533
181360511,1533
182357267,1533
