timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
2089850450,2089822086,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2090877112,2090846683,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2091905027,2091875555,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2092920293,2092889985,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2093931876,2093904430,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2094941516,2094914497,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2095965991,2095937810,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2096983634,2096954851,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2098009431,2097978496,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2099026260,2098997897,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2100037473,2100009492,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2101055925,2101028696,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2102064363,2102034170,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2103075073,2103044659,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2104092922,2104062922,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2105104174,2105075635,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2106122847,2106094515,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2107133243,2107106742,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2108154115,2108126640,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2109180801,2109151861,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2110180870,2110158203,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2111183127,2111159882,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2112193557,2112173126,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2113199720,2113178008,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2114220210,2114196373,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2115220718,2115200256,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2116225799,2116201431,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2117231982,2117211636,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2118237419,2118215056,1,1,3,0,0,3,3,0,0,0,0,0,0,0
2118901780,2118878533,2,4,3,0,0,3,3,0,0,0,0,0,0,0
2119909971,2119887777,2,4,3,0,0,3,3,0,0,0,0,0,0,0
2120453065,2120429544,3,6,3,0,0,3,3,0,0,0,0,0,0,0
2121468873,2121448039,3,6,3,0,0,3,3,0,0,0,0,0,0,0
2122421909,2122392940,4,4,3,0,0,3,3,0,0,0,0,0,0,0
2122479537,2122459035,5,1,3,0,0,3,3,0,0,0,0,0,0,0
2123495077,2123474433,5,1,3,0,0,3,3,0,0,0,0,0,0,0
2124504340,2124483651,5,1,3,0,0,3,3,0,0,0,0,0,0,0
2125327240,2125306066,6,1,1,0,0,3,3,0,0,0,0,0,0,0
2126346283,2126325406,6,1,1,0,0,3,3,0,0,0,0,0,0,0
2126709235,2126689319,7,1,3,0,0,3,3,0,0,0,0,0,0,0
2127719266,2127696631,7,1,3,0,0,3,3,0,0,0,0,0,0,0
2128733219,2128712001,7,1,3,0,0,3,3,0,0,0,0,0,0,0
2129743160,2129722390,7,1,3,0,0,3,3,0,0,0,0,0,0,0
2130753578,2130732894,7,1,3,0,0,3,3,0,0,0,0,0,0,0
2131773529,2131752413,7,1,3,0,0,3,3,0,0,0,0,0,0,0
